epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.6313952325291434,0.6255832037325039,0.5349422945301243,0.8820326678765881
2,0.6496110988627326,0.8419517884914464,0.35533684924812803,0.9147005444646098
3,0.453099539639605,0.8845256609642301,0.29968615603749854,0.9165154264972777
4,0.34541385689197024,0.911353032659409,0.28494085487782844,0.9219600725952813
5,0.2917986654475169,0.9249611197511665,0.28097273831250663,0.9219600725952813
6,0.25145569603606294,0.9350699844479005,0.27514563557673277,0.911070780399274
7,0.20520133146231134,0.9461508553654744,0.27340380628398886,0.9156079854809437
8,0.19322246737187238,0.9459564541213064,0.275786131458144,0.9147005444646098
9,0.16747821565039606,0.9560653188180405,0.279188958843477,0.9192377495462795
10,0.15824972507927687,0.9599533437013997,0.2510367935885102,0.9192377495462795
11,0.14321607112606427,0.9626749611197511,0.2921801972627207,0.911070780399274
12,0.11687962679571905,0.9694790046656299,0.23262989786056337,0.9228675136116152
13,0.11726833548553253,0.9718118195956454,0.27634836308752775,0.9083484573502723
14,0.12376639738238618,0.9669517884914464,0.2642542047801338,0.9165154264972777
15,0.11023760120012156,0.9704510108864697,0.305989789010825,0.9065335753176044
