epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.761852639830131,0.7019828926905132,0.5622647209954997,0.8911070780399274
2,1.060662644461933,0.8994945567651633,0.42550696732777216,0.9201451905626135
3,0.9341071297184305,0.9430404354587869,0.3811166643988199,0.9210526315789473
4,0.8787885147898601,0.9622861586314152,0.4018675591357174,0.9228675136116152
5,0.8366709764044541,0.9764774494556765,0.38317443936143725,0.926497277676951
6,0.8138211354682827,0.9805598755832037,0.36430985314227277,0.9310344827586207
7,0.7972508500189656,0.9854199066874028,0.3610811594285463,0.9228675136116152
8,0.7819727851109779,0.9891135303265941,0.37929432675539904,0.9219600725952813
9,0.7732596020120114,0.9924183514774495,0.38080702254214,0.9292196007259528
10,0.7643985099406858,0.9937791601866252,0.4037769590445309,0.926497277676951
11,0.7581894415348166,0.9939735614307932,0.3948634042930257,0.9210526315789473
12,0.7475480714444981,0.9965007776049767,0.3934834510791107,0.9201451905626135
13,0.7474754005902292,0.9966951788491446,0.397935973537812,0.926497277676951
14,0.7415996014979171,0.9955287713841369,0.37853651497844343,0.9237749546279492
15,0.7425360599906411,0.9965007776049767,0.3761272704103681,0.9364791288566243
