epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.4051264459571422,0.6959564541213064,0.5026005096530741,0.8874773139745916
2,0.47090971970446927,0.8936625194401244,0.34078452055986475,0.9219600725952813
3,0.28405996496625485,0.9370139968895801,0.29876754098925096,0.9174228675136116
4,0.20194272372529815,0.9589813374805599,0.2808211884459653,0.9228675136116152
5,0.14082732854605093,0.9729782270606532,0.2663224271334667,0.9219600725952813
6,0.12170681856792785,0.973561430793157,0.2698486103066083,0.9237749546279492
7,0.10100094301982393,0.9782270606531882,0.27976893113009943,0.9246823956442831
8,0.07622451761601316,0.9854199066874028,0.28441593224037365,0.9183303085299456
9,0.06328912434482463,0.9885303265940902,0.2854378867062813,0.9237749546279492
10,0.059128742392752814,0.9881415241057543,0.30107767828579607,0.9137931034482759
11,0.054355843383731964,0.9889191290824261,0.312937893149208,0.9174228675136116
12,0.05145171980777666,0.9869751166407466,0.33326875536065353,0.911070780399274
13,0.04799803929522193,0.9908631415241057,0.29701963456486186,0.9210526315789473
14,0.04118850327228684,0.9924183514774495,0.30410391795440506,0.9201451905626135
15,0.046880662783076565,0.989307931570762,0.2820424169247899,0.9192377495462795
